precision,recall,threshold
0.4972,0.2665,0.5114
0.4944,0.2635,0.5115
0.4915,0.2605,0.5116
0.4886,0.2575,0.512
0.4857,0.2545,0.5121
0.4828,0.2515,0.5126
0.4798,0.2485,0.5132
0.4767,0.2455,0.5134
0.4795,0.2455,0.5138
0.4765,0.2425,0.5138
0.4793,0.2425,0.5139
0.4762,0.2395,0.514
0.4731,0.2365,0.5142
0.4699,0.2335,0.5144
0.4667,0.2305,0.5145
0.4695,0.2305,0.5147
0.4663,0.2275,0.515
0.463,0.2246,0.515
0.4658,0.2246,0.5168
0.4688,0.2246,0.5174
0.4717,0.2246,0.5176
0.4684,0.2216,0.5178
0.4713,0.2216,0.518
0.4679,0.2186,0.5184
0.471,0.2186,0.5185
0.474,0.2186,0.5185
0.4771,0.2186,0.5187
0.4737,0.2156,0.519
0.4702,0.2126,0.5193
0.4733,0.2126,0.5196
0.4765,0.2126,0.5199
0.4797,0.2126,0.5201
0.483,0.2126,0.5203
0.4795,0.2096,0.5207
0.4828,0.2096,0.5208
0.4861,0.2096,0.5211
0.4895,0.2096,0.5213
0.493,0.2096,0.5217
0.4894,0.2066,0.5224
0.4857,0.2036,0.523
0.4892,0.2036,0.5238
0.4855,0.2006,0.5245
0.4818,0.1976,0.5247
0.4853,0.1976,0.5252
0.4815,0.1946,0.5254
0.4776,0.1916,0.5256
0.4812,0.1916,0.5266
0.4848,0.1916,0.5267
0.4809,0.1886,0.5269
0.4846,0.1886,0.5285
0.4884,0.1886,0.5285
0.4844,0.1856,0.5293
0.4882,0.1856,0.5295
0.4921,0.1856,0.5299
0.488,0.1826,0.53
0.4919,0.1826,0.5305
0.4959,0.1826,0.5307
0.4918,0.1796,0.531
0.4959,0.1796,0.5324
0.5,0.1796,0.5326
0.4958,0.1766,0.5327
0.5,0.1766,0.5335
0.4957,0.1737,0.5341
0.5,0.1737,0.5345
0.5043,0.1737,0.5348
0.5088,0.1737,0.5353
0.5044,0.1707,0.5353
0.5089,0.1707,0.5355
0.5135,0.1707,0.5356
