precision,recall,threshold
0.4984,0.4167,0.4892
0.5,0.4167,0.4892
0.4984,0.4141,0.4892
0.4969,0.4115,0.4893
0.4984,0.4115,0.4893
0.4968,0.4089,0.4894
0.4984,0.4089,0.4895
0.4968,0.4062,0.4895
0.4952,0.4036,0.4896
0.4968,0.4036,0.4898
0.4952,0.401,0.4898
0.4935,0.3984,0.4898
0.4951,0.3984,0.49
0.4968,0.3984,0.49
0.4951,0.3958,0.4901
0.4967,0.3958,0.4901
0.4951,0.3932,0.4902
0.4934,0.3906,0.4903
0.495,0.3906,0.4904
0.4934,0.388,0.4904
0.4917,0.3854,0.4904
0.49,0.3828,0.4905
0.4883,0.3802,0.4906
0.4899,0.3802,0.4906
0.4882,0.3776,0.4908
0.4865,0.375,0.4908
0.4881,0.375,0.4909
0.4898,0.375,0.4909
0.4915,0.375,0.4911
0.4897,0.3724,0.4911
0.4914,0.3724,0.4912
0.4897,0.3698,0.4912
0.4913,0.3698,0.4912
0.4931,0.3698,0.4913
0.4913,0.3672,0.4914
0.493,0.3672,0.4915
0.4947,0.3672,0.4916
0.4965,0.3672,0.4917
0.4947,0.3646,0.4917
0.4965,0.3646,0.4918
0.4982,0.3646,0.4919
0.4964,0.362,0.492
0.4982,0.362,0.4921
0.5,0.362,0.4921
0.4982,0.3594,0.4922
0.4964,0.3568,0.4922
0.4982,0.3568,0.4922
0.5,0.3568,0.4923
0.5018,0.3568,0.4923
0.5,0.3542,0.4923
0.4982,0.3516,0.4924
0.4963,0.349,0.4924
0.4981,0.349,0.4924
0.4963,0.3464,0.4925
0.4981,0.3464,0.4925
0.5,0.3464,0.4927
0.5019,0.3464,0.4927
0.5038,0.3464,0.4929
0.5057,0.3464,0.4929
0.5038,0.3438,0.4929
0.5057,0.3438,0.493
0.5077,0.3438,0.493
0.5058,0.3411,0.493
0.5078,0.3411,0.4931
0.5058,0.3385,0.4932
0.5039,0.3359,0.4934
0.5059,0.3359,0.4935
0.5079,0.3359,0.4936
0.5099,0.3359,0.4936
0.5079,0.3333,0.4937
0.506,0.3307,0.4937
0.504,0.3281,0.4938
0.502,0.3255,0.4938
0.504,0.3255,0.4939
0.502,0.3229,0.494
0.5,0.3203,0.494
0.502,0.3203,0.494
0.5041,0.3203,0.4942
0.5062,0.3203,0.4942
0.5041,0.3177,0.4943
0.5062,0.3177,0.4943
0.5083,0.3177,0.4944
0.5063,0.3151,0.4945
0.5042,0.3125,0.4947
0.5021,0.3099,0.4947
0.5042,0.3099,0.4947
0.5021,0.3073,0.4949
0.5,0.3047,0.4949
0.5021,0.3047,0.4951
0.5043,0.3047,0.4953
0.5022,0.3021,0.4953
0.5043,0.3021,0.4954
0.5022,0.2995,0.4954
0.5044,0.2995,0.4954
0.5022,0.2969,0.496
0.5,0.2943,0.496
0.5022,0.2943,0.4961
0.5045,0.2943,0.4962
0.5022,0.2917,0.4962
0.5045,0.2917,0.4964
0.5023,0.2891,0.4966
0.5045,0.2891,0.497
0.5023,0.2865,0.497
0.5,0.2839,0.497
0.5023,0.2839,0.4972
0.5,0.2812,0.4974
0.4977,0.2786,0.4975
0.4953,0.276,0.4976
0.493,0.2734,0.4976
0.4906,0.2708,0.4977
0.4929,0.2708,0.4977
0.4952,0.2708,0.4978
0.4928,0.2682,0.4979
0.4952,0.2682,0.498
0.4976,0.2682,0.498
0.4951,0.2656,0.4981
0.4976,0.2656,0.4982
0.4951,0.263,0.4982
0.4975,0.263,0.4983
0.495,0.2604,0.4984
0.4925,0.2578,0.4984
0.495,0.2578,0.4985
0.4975,0.2578,0.4985
0.5,0.2578,0.4986
0.5025,0.2578,0.4986
0.5,0.2552,0.4986
0.4974,0.2526,0.4987
0.5,0.2526,0.4988
0.4974,0.25,0.4988
0.5,0.25,0.4989
0.4974,0.2474,0.499
0.5,0.2474,0.4992
0.5026,0.2474,0.4993
0.5,0.2448,0.4994
0.5027,0.2448,0.4994
0.5054,0.2448,0.4994
0.5027,0.2422,0.4995
0.5,0.2396,0.4995
0.4973,0.237,0.4997
0.4945,0.2344,0.4998
0.4972,0.2344,0.5001
0.5,0.2344,0.5001
0.5028,0.2344,0.5002
0.5,0.2318,0.5002
0.4972,0.2292,0.5003
0.5,0.2292,0.5003
0.4971,0.2266,0.5004
0.5,0.2266,0.5006
0.5029,0.2266,0.5007
0.5058,0.2266,0.5008
0.5088,0.2266,0.5008
0.5059,0.224,0.501
0.503,0.2214,0.5012
0.506,0.2214,0.5012
0.509,0.2214,0.5013
0.506,0.2188,0.5013
0.503,0.2161,0.5013
0.5,0.2135,0.5013
0.5031,0.2135,0.5013
0.5,0.2109,0.5013
0.4969,0.2083,0.5013
0.4938,0.2057,0.5014
0.4969,0.2057,0.5014
0.4937,0.2031,0.5015
0.4904,0.2005,0.5016
0.4936,0.2005,0.5016
0.4903,0.1979,0.5017
0.487,0.1953,0.5018
0.4837,0.1927,0.502
0.4803,0.1901,0.502
0.4834,0.1901,0.502
0.4867,0.1901,0.5021
0.4832,0.1875,0.5021
0.4865,0.1875,0.5022
0.483,0.1849,0.5025
0.4863,0.1849,0.5029
0.4828,0.1823,0.5033
0.4861,0.1823,0.5033
0.4825,0.1797,0.5036
0.4859,0.1797,0.5039
0.4894,0.1797,0.5039
0.4857,0.1771,0.504
0.482,0.1745,0.504
0.4855,0.1745,0.5041
0.4891,0.1745,0.5042
0.4926,0.1745,0.5043
0.4963,0.1745,0.5044
0.5,0.1745,0.5044
0.5038,0.1745,0.5045
0.5076,0.1745,0.5045
0.5115,0.1745,0.5046
0.5154,0.1745,0.5046
0.5194,0.1745,0.5046
0.5234,0.1745,0.5046
0.5276,0.1745,0.5047
0.5238,0.1719,0.5047
0.52,0.1693,0.5048
0.5242,0.1693,0.5048
0.5203,0.1667,0.5049
0.5164,0.1641,0.5051
0.5207,0.1641,0.5051
0.5167,0.1615,0.5051
0.5126,0.1589,0.5052
0.5169,0.1589,0.5053
0.5128,0.1562,0.5053
0.5086,0.1536,0.5054
0.513,0.1536,0.5057
0.5088,0.151,0.5057
0.5133,0.151,0.5059
0.5089,0.1484,0.506
0.5045,0.1458,0.506
0.5091,0.1458,0.5061
0.5046,0.1432,0.5065
0.5093,0.1432,0.5065
0.5047,0.1406,0.5071
0.5,0.138,0.5071
0.5048,0.138,0.5072
0.5,0.1354,0.5074
0.4951,0.1328,0.5075
0.5,0.1328,0.5075
0.495,0.1302,0.5076
0.49,0.1276,0.5076
0.4848,0.125,0.5077
0.4898,0.125,0.5078
0.4948,0.125,0.5078
0.5,0.125,0.5078
0.5053,0.125,0.5078
0.5106,0.125,0.5078
0.5161,0.125,0.5079
