target,feature,family,verdict,mean_logloss_improvement,fold_1,fold_2,fold_3,fold_4
home_win,home_bp_pitches_per_out_7g,bullpen,REMOVE,-0.00023248041148926646,-9.682668474564338e-05,-0.0004148818169170676,-0.0008452276160795247,0.0004270144717851698
home_win,home_bp_outs_14g,bullpen,REMOVE,-0.0005408229925825958,-0.0003404881077774258,-0.00024009831141891258,-0.0012830970453164836,-0.00029960850581756127
home_win,home_bp_er_14g,bullpen,REMOVE,-0.0003487938714561434,-0.0008443174022420008,-0.000190043459772693,-0.0005142168182963314,0.00015340219448645165
home_win,home_bp_hits_14g,bullpen,REMOVE,-0.00031326879362203464,-0.0002835343193529072,-0.00018950859972544087,-0.0009458381600253585,0.000165805904615568
home_win,home_bp_bb_14g,bullpen,REMOVE,-0.0003830641802984036,-0.00035370064375084276,-0.00046658019581335974,-0.0008784749071901743,0.00016649902556076235
home_win,home_bp_so_14g,bullpen,REMOVE,-0.00028415516565902244,-0.0004517824171560436,-7.86613486994936e-05,-0.000767626404448718,0.00016144950766816546
home_win,home_bp_hr_14g,bullpen,REMOVE,-0.00044829819538039217,-0.0004731993173204829,-0.0007784008854141433,-0.000633170506067593,9.15779272806505e-05
home_win,home_bp_pitches_14g,bullpen,REMOVE,-0.00032580234797083274,-0.0008824577313474302,-0.000333977426891896,-0.000497194643797938,0.00041042041015393327
home_win,home_bp_era_14g,bullpen,REMOVE,-0.00018816655767828205,-0.000246411976465688,-0.00024781221389469366,-0.0007130218762589902,0.0004545798359062436
home_win,home_bp_whip_14g,bullpen,REMOVE,-0.0002588249680089416,-0.00010531604907404457,-0.0005384355135393815,-0.0001960666808188405,-0.00019548162860349994
home_win,home_bp_k_minus_bb_14g,bullpen,REMOVE,-0.0005170709222693248,-0.0007284788102135398,-0.0005491430053226054,-0.001215914601621404,0.00042525272808024983
home_win,home_bp_pitches_per_out_14g,bullpen,REMOVE,-0.000518732982657033,-0.0007733153344696708,-0.00033638340774722053,-0.0006829659168230418,-0.0002822672715881991
home_win,away_bp_outs_3g,bullpen,REMOVE,-0.0002963798537169715,0.00015540567239280545,-0.00041196925707598364,-0.0009316331360968988,2.6773059121909526e-06
