pitcher_id,year,avg_fastball_velo,pitches_thrown,games
656257,2024,89.60833333333333,48,3
656257,2025,90.08790322580644,124,6
656266,2024,88.87840909090909,88,9
656271,2024,92.25621890547264,603,37
656271,2025,92.02721951219512,1025,72
656288,2024,89.34994861253854,2919,34
656288,2025,89.92191048764195,1497,18
656302,2024,90.88566361217855,3383,36
656302,2025,91.88079698776278,3187,35
656353,2024,85.45522388059702,67,1
656354,2024,87.98028169014086,142,7
656354,2025,87.39999999999999,7,1
656412,2024,88.73215258855586,1101,40
656420,2024,88.72234636871508,179,10
656420,2025,87.99896907216494,97,5
656427,2024,87.0935432059107,3113,35
656427,2025,87.0948460087995,3182,36
656457,2024,90.05724137931034,145,7
656457,2025,86.261387283237,865,47
656458,2024,88.60425531914893,47,3
656458,2025,83.72222222222223,18,1
656464,2024,92.57531486146095,1191,74
656464,2025,90.54931506849314,511,31
656529,2024,88.9062678062678,351,25
656546,2024,91.81445672191529,1086,75
656546,2025,91.85777126099707,1364,83
656547,2024,,0,1
656548,2024,93.25714285714287,21,2
656550,2024,89.51552734375,1024,26
656550,2025,89.14582118561711,2057,23
656557,2024,87.88892138939671,2735,31
656557,2025,89.65954606141523,749,11
656577,2025,52.275,24,1
656605,2024,89.67206338270755,2903,32
656605,2025,89.07721254355401,2870,33
656629,2024,96.594452887538,1316,80
656629,2025,96.36796536796537,231,14
656638,2024,90.98923444976077,418,24
656638,2025,90.7,20,1
656641,2024,89.37481840193705,825,48
656641,2025,88.93804034582132,1388,33
656647,2024,89.93529411764706,34,2
656657,2024,89.49767441860466,43,3
656671,2024,84.64895833333334,96,4
656686,2024,,0,1
656686,2025,92.46831955922865,363,18
656701,2024,89.57391304347826,46,2
656716,2024,52.07083333333333,24,3
656716,2025,35.95,2,1
656726,2024,90.804,25,3
656726,2025,,0,2
656730,2024,95.46025824964133,697,52
656730,2025,94.48489892984543,841,57
656731,2024,91.19134615384615,1560,20
656731,2025,90.88703438395416,1396,16
656756,2024,86.16576903158985,1929,25
656756,2025,85.1925,40,1
656786,2024,86.65071090047392,211,13
656786,2025,85.83414634146341,41,2
656793,2024,90.90454545454546,110,5
656794,2024,88.69783783783782,184,9
656794,2025,88.67239648682559,1593,49
656814,2024,87.94736842105263,57,5
656818,2025,88.38709677419355,31,2
656820,2024,,0,1
656820,2025,86.88947368421053,38,2
656848,2024,94.02369146005509,363,16
656848,2025,94.04128440366972,327,16
656849,2024,88.87490347490348,2071,26
656849,2025,87.46343090033345,2699,31
656876,2024,94.12549019607843,459,16
656876,2025,92.69296200345423,2316,33
656887,2024,92.6485294117647,408,24
656896,2024,67.09464285714286,56,4
656896,2025,57.96222222222222,45,1
