precision,recall,threshold
0.4819,0.218,0.4649
0.4848,0.218,0.465
0.4878,0.218,0.465
0.4847,0.2153,0.4651
0.4877,0.2153,0.4653
0.4907,0.2153,0.4658
0.4875,0.2125,0.4659
0.4906,0.2125,0.4659
0.4873,0.2098,0.466
0.4904,0.2098,0.4661
0.4936,0.2098,0.4661
0.4903,0.2071,0.4662
0.4935,0.2071,0.4664
0.4967,0.2071,0.4667
0.5,0.2071,0.467
0.4967,0.2044,0.4671
0.5,0.2044,0.4672
0.4966,0.2016,0.4672
0.5,0.2016,0.4674
0.4966,0.1989,0.4678
0.4932,0.1962,0.4679
0.4897,0.1935,0.468
0.4861,0.1907,0.468
0.4895,0.1907,0.4681
0.493,0.1907,0.4682
0.4965,0.1907,0.4683
0.4929,0.188,0.4683
0.4964,0.188,0.4687
0.5,0.188,0.4687
0.4964,0.1853,0.469
0.4926,0.1826,0.469
0.4889,0.1798,0.4691
0.4851,0.1771,0.4693
0.4887,0.1771,0.4693
0.4924,0.1771,0.4693
0.4962,0.1771,0.4695
0.5,0.1771,0.4696
0.5039,0.1771,0.4698
0.5078,0.1771,0.4699
0.5118,0.1771,0.4701
0.5159,0.1771,0.4702
0.52,0.1771,0.4703
0.5242,0.1771,0.4706
0.5285,0.1771,0.4708
0.5246,0.1744,0.471
0.5207,0.1717,0.4711
0.525,0.1717,0.4712
0.5294,0.1717,0.4719
0.5339,0.1717,0.472
0.5385,0.1717,0.472
0.5345,0.1689,0.4723
0.5304,0.1662,0.4725
0.5263,0.1635,0.4726
0.5221,0.1608,0.4728
0.5179,0.158,0.4729
0.5135,0.1553,0.4732
0.5091,0.1526,0.4732
0.5046,0.1499,0.4736
0.5093,0.1499,0.4743
0.514,0.1499,0.4745
0.5189,0.1499,0.4747
0.5143,0.1471,0.4757
0.5192,0.1471,0.4757
0.5146,0.1444,0.4764
0.5098,0.1417,0.4765
0.505,0.139,0.4765
0.5,0.1362,0.4778
0.4949,0.1335,0.4778
0.5,0.1335,0.4779
0.5052,0.1335,0.4779
0.5,0.1308,0.4782
0.5053,0.1308,0.4783
0.5106,0.1308,0.4787
0.5054,0.1281,0.4789
0.5109,0.1281,0.479
0.5165,0.1281,0.4794
0.5111,0.1253,0.4795
0.5056,0.1226,0.4797
0.5114,0.1226,0.4801
0.5172,0.1226,0.4802
0.5116,0.1199,0.4809
0.5059,0.1172,0.4809
0.5119,0.1172,0.4811
0.506,0.1144,0.4818
0.5122,0.1144,0.4823
0.5062,0.1117,0.4828
0.5125,0.1117,0.4829
0.5063,0.109,0.4832
0.5128,0.109,0.484
0.5195,0.109,0.4845
0.5132,0.1063,0.4846
0.52,0.1063,0.4846
0.5135,0.1035,0.4855
0.5205,0.1035,0.4859
0.5278,0.1035,0.486
0.5211,0.1008,0.4862
0.5143,0.0981,0.4865
0.5217,0.0981,0.4874
0.5294,0.0981,0.4876
0.5373,0.0981,0.4882
0.5303,0.0954,0.4884
0.5231,0.0926,0.4884
0.5312,0.0926,0.4885
0.5238,0.0899,0.4886
0.5161,0.0872,0.489
0.5246,0.0872,0.4891
0.5333,0.0872,0.4901
0.5424,0.0872,0.4907
